@relation asd

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
191.668985,16,191,219.938706,0.122707,0.010243,0.122279,-0.000985,0.118129,0.36403,0.000079,0.000007,0.000078,0.032539,0.00958,0.029874,0,0.002679,13.80568,-0.000985,44,0,1,0
628.318391,260,572,916.82927,0.065293,0.027019,0.059441,-0.000139,0.313287,0.61723,0.000007,0.000003,0.000006,0.501139,0.181672,0.408098,0,0.375152,668.791373,-0.000139,565,1,1,0
71.021124,12,70,1049.295551,0.021759,0.003676,0.021446,0.000099,0.616532,0.409348,0.000007,0.000001,0.000007,0.138124,0.077731,0.085422,0,0.050474,182.996094,0.000099,164,0,2,0
65.069194,47,45,66.591096,0.508353,0.367188,0.351563,0.001819,0.316207,0.296888,0.003972,0.002869,0.002747,0.056494,0.040572,0.037323,0.000031,0.007212,15.624056,0.001819,19,0,2,0
22.135944,21,7,29.116005,0.098821,0.09375,0.03125,0.001251,0.197318,0.067882,0.000441,0.000419,0.00014,0.026932,0.024957,0.008233,0.000002,0.003542,12.66231,0.001251,16,0,2,0
703.045518,697,92,1948.425631,0.239539,0.237479,0.031346,-0.0003,0.909383,0.136771,0.000082,0.000081,0.000011,0.119955,0.116473,0.017699,0,0.0155,119.171885,-0.0003,264,0,1,0
443.189576,44,441,503.371582,0.359732,0.035714,0.357955,0.000523,0.167639,0.522436,0.000292,0.000029,0.000291,0.075742,0.021329,0.066427,0,0.009764,38.618562,0.000523,105,1,1,0
376.172833,365,91,386.656332,0.959625,0.931122,0.232143,0.00092,1.110365,0.277139,0.002448,0.002375,0.000592,0.147625,0.139228,0.034995,0.000006,0.018549,14.584547,0.00092,41,1,2,0
70.028566,2,70,128.861874,0.05865,0.001675,0.058626,0.000064,0.006557,0.203898,0.000049,0.000001,0.000049,0.020297,0.000656,0.020156,0,0.002012,2.457641,0.000064,61,1,1,0
106,106,0,107.414214,0.243119,0.243119,0,-0.000072,0.379214,0.007813,0.000558,0.000558,0,0.194793,0.192031,0.003906,0.000001,0.10686,20.75995,-0.000072,128,1,1,0
1601.432484,1275,969,1831.837618,0.528351,0.420653,0.319696,0.002882,1.746633,1.280922,0.000174,0.000139,0.000105,0.277519,0.219776,0.160607,0,0.035081,10.628036,0.002882,103,1,1,0
12.041595,9,8,1837.034496,0.001339,0.001001,0.00089,0.000344,0.358958,0.307162,0,0,0,0.070605,0.047183,0.039898,0,0.009414,149.953465,0.000344,433,1,1,0
1164.62011,794,852,1539.578921,0.604056,0.411826,0.441909,-0.000679,1.267271,0.989731,0.000313,0.000214,0.000229,0.231411,0.175309,0.137777,0,0.033831,98.909744,-0.000679,121,0,1,0
