@relation vegleges

@attribute Euklideszi numeric
@attribute Xtav numeric
@attribute Ytav numeric
@attribute Pontonkentitav numeric
@attribute Sebesseg numeric
@attribute Xsebesseg numeric
@attribute Ysebesseg numeric
@attribute Atlagsebesseg numeric
@attribute Xatlagszabesseg numeric
@attribute Yatlagsebesseg numeric
@attribute Gyorsulas numeric
@attribute Xgyorsulas numeric
@attribute Ygyorsulas numeric
@attribute Pontonkentigyorsulas numeric
@attribute Xpontonkentigyosulas numeric
@attribute Ypontonkentigyorsulas numeric
@attribute jerkue numeric
@attribute jerkpontonkenti numeric
@attribute ossszszog numeric
@attribute atlagszogseb numeric
@attribute mozgaspontok numeric
@attribute milyen numeric
@attribute melyikgomb numeric
@attribute userid {0,1}

@data
6.708204,3,6,7.828427,0.009462,0.004231,0.008463,-0.001328,0.011116,0.037913,0.000013,0.000006,0.000012,0.004561,0.001219,0.004054,0,0.000538,16.12797,-0.001328,13,1,1,0
1243.834796,1129,522,1400.49332,0.859002,0.779696,0.360497,0.002364,0.992164,0.482983,0.000593,0.000538,0.000249,0.147228,0.129728,0.063202,0,0.019602,157.253303,0.002364,160,1,1,0
502.606208,207,458,1306.314479,0.020398,0.008401,0.018588,0.00002,0.394538,0.554398,0.000001,0,0.000001,0.060075,0.030777,0.043223,0,0.004706,42.081478,0.00002,131,1,1,0
296.055738,132,265,299.381829,0.07539,0.033613,0.067482,-0.000092,0.199753,0.399863,0.000019,0.000009,0.000017,0.028971,0.01286,0.025615,0,0.001868,16.168728,-0.000092,42,1,1,0
3,3,0,26.217478,0.005515,0.005515,0,0.000171,0.08998,0.063115,0.00001,0.00001,0,0.015311,0.010267,0.007501,0,0.001856,9.760831,0.000171,20,0,1,0
144.42299,97,107,217.339646,0.06631,0.044536,0.049128,0.000353,0.170674,0.30241,0.00003,0.00002,0.000023,0.210095,0.07542,0.150377,0,0.105388,147.998037,0.000353,209,1,1,0
329.548176,329,19,335.349112,0.399937,0.399272,0.023058,-0.000416,0.599145,0.042484,0.000485,0.000485,0.000028,0.075285,0.074757,0.005173,0.000001,0.009421,16.147611,-0.000416,68,1,1,0
904.610413,864,268,1361.067663,0.054078,0.05165,0.016021,-0.000077,0.649851,0.388484,0.000003,0.000003,0.000001,0.11342,0.084559,0.052306,0,0.015121,216.155104,-0.000077,198,1,1,0
232.86262,183,144,399.031217,0.184958,0.145353,0.114376,-0.001544,0.447574,0.373599,0.000147,0.000115,0.000091,0.083325,0.056495,0.047157,0,0.010574,85.089872,-0.001544,75,1,1,0
0,0,0,49.058766,0,0,0,0.003133,0.133593,0.100855,0,0,0,0.021834,0.016044,0.011633,0,0.00266,14.346905,0.003133,29,1,2,0
969.051598,969,10,1202.507389,0.374151,0.374131,0.003861,-0.000138,0.752181,0.356832,0.000144,0.000144,0.000001,0.093661,0.076863,0.036111,0,0.009607,65.770462,-0.000138,131,1,1,0
648.556089,105,640,828.272574,0.536884,0.086921,0.529801,0.00106,0.36264,1.150304,0.000444,0.000072,0.000439,0.162626,0.04484,0.144235,0,0.020524,31.988308,0.00106,77,1,1,0
179.10053,179,6,2029.385696,0.001128,0.001127,0.000038,0.000295,0.337812,0.301248,0,0,0,0.069203,0.044279,0.040647,0,0.009653,10.040214,0.000295,483,1,1,0
903.695192,248,869,939.034511,0.471657,0.129436,0.453549,0.00052,0.426853,1.410344,0.000246,0.000068,0.000237,0.115587,0.033167,0.109976,0,0.009045,15.791218,0.00052,49,1,1,0
1444.745306,1035,1008,2841.385398,0.497502,0.356405,0.347107,-0.000379,0.931496,1.037744,0.000171,0.000123,0.00012,0.179159,0.114191,0.126035,0,0.022292,286.447638,-0.000379,228,1,1,0
58.600341,25,53,250.673356,0.017629,0.007521,0.015945,-0.000006,0.201272,0.399284,0.000005,0.000002,0.000005,0.062228,0.027075,0.053482,0,0.008569,52.947967,-0.000006,69,1,1,0
